Year,Consumption.Commercial.Coal,Consumption.Commercial.Distillate Fuel Oil,Consumption.Commercial.Geothermal,Consumption.Commercial.Hydropower,Consumption.Commercial.Kerosene,Consumption.Commercial.Liquefied Petroleum Gases,Consumption.Commercial.Natural Gas,Consumption.Commercial.Solar,Consumption.Commercial.Wind,Consumption.Commercial.Wood,Consumption.Electric Power.Coal,Consumption.Electric Power.Distillate Fuel Oil,Consumption.Electric Power.Natural Gas,Consumption.Electric Power.Wood,Consumption.Industrial.Coal,Consumption.Industrial.Distillate Fuel Oil,Consumption.Industrial.Geothermal,Consumption.Industrial.Hydropower,Consumption.Industrial.Kerosene,Consumption.Industrial.Liquefied Petroleum Gases,Consumption.Industrial.Natural Gas,Consumption.Industrial.Other Petroleum Products,Consumption.Industrial.Solar,Consumption.Industrial.Wind,Consumption.Industrial.Wood,Consumption.Refinery.Coal,Consumption.Refinery.Distillate Fuel Oil,Consumption.Refinery.Liquefied Petroleum Gases,Consumption.Refinery.Natural Gas,Consumption.Residential.Coal,Consumption.Residential.Distillate Fuel Oil,Consumption.Residential.Geothermal,Consumption.Residential.Kerosene,Consumption.Residential.Liquefied Petroleum Gases,Consumption.Residential.Natural Gas,Consumption.Residential.Wood,Consumption.Transportation.Coal,Consumption.Transportation.Distillate Fuel Oil,Consumption.Transportation.Liquefied Petroleum Gases,Consumption.Transportation.Natural Gas
1960,19883,88684,0,0,2654,2125,65213,0,0,491,326074,3148,59843,0,311870,75317,0,3664,3741,1354,74243,16856,0,0,32869,0,0,0,0,28612,261701,0,23667,7489,232462,25903,5290,51014,69,2365
1961,18552,95248,0,0,3309,2097,73332,0,0,470,296651,4069,63095,0,290813,78419,0,3072,4753,1330,63724,23768,0,0,32250,0,0,0,0,26697,281071,0,29512,7392,247992,24734,1300,48208,92,2486
1962,17095,106134,0,0,2902,2190,76754,0,0,461,285883,4874,71293,0,292161,87058,0,3176,3711,1388,76725,25544,0,0,32560,0,0,0,0,24600,313197,0,25881,7719,263508,24304,1153,45490,121,2775
1963,15338,106218,0,0,2802,2379,83617,0,0,450,300329,5281,84315,0,305972,86820,0,3000,3845,1791,78397,24407,0,0,32938,0,0,0,0,21182,313443,0,24985,8387,271381,23770,1125,50071,130,3002
1964,14015,104888,0,0,2578,2800,83333,0,0,417,350435,5439,79501,0,354544,85933,0,2733,4771,1756,85309,30012,0,0,34520,0,0,0,0,19354,309521,0,22991,9869,276873,22016,1290,51794,149,2875
1965,13512,113744,0,0,2645,2248,88790,0,0,405,362573,6841,76118,0,360090,98497,0,2876,5646,2012,95323,29613,0,0,36309,0,0,0,0,17912,335652,0,23591,7923,295031,21397,1151,51260,146,3395
1966,11294,110311,0,0,2423,2278,120446,0,0,401,346233,8959,73178,0,357848,95329,0,3345,5735,2321,116832,30732,0,0,37169,0,0,0,0,14970,325521,0,21610,8031,331486,21156,1039,55735,215,3744
1967,9072,115008,0,0,2453,2164,124857,0,0,410,357645,9476,86327,0,347013,98179,0,3401,7281,2443,63733,29514,0,0,35346,0,0,0,0,12025,339382,0,21874,7629,320870,21362,812,59317,243,6883
1968,8606,118413,0,0,3173,2313,125466,0,0,409,352088,10633,104282,0,327803,96843,0,3041,4616,3448,94154,29631,0,0,38304,0,0,0,0,10953,349432,0,28296,8152,325987,21414,697,54990,240,3394
1969,7226,118345,0,0,3376,2821,130976,0,0,408,330727,13253,109513,0,308881,99207,0,2899,4065,3832,116519,32952,0,0,39543,0,0,0,0,9196,349231,0,30107,9944,338284,21552,501,60798,282,2755
1970,6888,118689,0,0,3548,2775,142427,0,0,412,274384,18287,108370,0,308435,97921,0,2828,4464,4205,117958,30532,0,0,40282,0,0,370,0,8767,350247,0,31643,9781,353810,21913,466,62055,411,3248
1971,7466,117185,0,0,3677,2861,148513,0,0,400,197952,42305,100605,0,222790,97677,0,2650,6850,4634,119512,30207,0,0,38494,0,0,1221,0,7173,345806,0,32792,10086,359479,21259,273,60350,529,3489
1972,6439,121618,0,0,3802,3206,150259,0,0,414,148277,50982,77201,0,195625,103716,0,2610,6115,5105,105701,33194,0,0,37238,0,0,2117,0,4857,358890,0,33911,11302,370648,21861,185,60344,554,3469
1973,7035,123016,0,0,3094,3086,147034,0,0,364,143393,42287,71597,0,214619,107024,0,2167,3023,5116,128349,34211,0,0,40024,0,0,2060,0,4132,363014,0,27596,10878,352924,19230,141,69557,587,3117